College Code,College Name,Seat Category,City,branch,closing_rank
E005,"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural",GM,Bengaluru Rural,AD-Artificial Intelligence & Data Science,84613
E027,"BMS College of Engineering-Basavanagudi, Bengaluru",GM,Bengaluru,AD-Artificial Intelligence & Data Science,5885
E032,"C.M.R. Institute of Technology-Brookefield, Bengaluru",GM,Bengaluru,AD-Artificial Intelligence & Data Science,36348
E050,"Global Academy of Technology-Rajarajeshwari Nagar, Bengaluru",GM,Bengaluru,AD-Artificial Intelligence & Data Science,55758
E055,"GSSS Institute of Engineering and Technology for Women-Metagalli, Mysuru",GM,Mysuru,AD-Artificial Intelligence & Data Science,74720
E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",GM,Bengaluru,AD-Artificial Intelligence & Data Science,3422
E164,"Reva University-Yelahanka, Bengaluru",GM,Bengaluru,AD-Artificial Intelligence & Data Science,61900
E207,"BGS College of Engineering and Technology-Mahalaxmipuram, Bengaluru",GM,Bengaluru,AD-Artificial Intelligence & Data Science,106934
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,Bengaluru,AE-Aeronautical Engineering,56571
E040,"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",GM,Bengaluru,AE-Aeronautical Engineering,37450
E073,"KLS Gogte Institute of Technology-Udyambag, Belagavi",GM,Belagavi,AE-Aeronautical Engineering,101565
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,99107
E003,"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,74861
E004,"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagaluru",GM,Chikkamagaluru,AI-Artificial Intelligence & Machine Learning,62788
E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,103040
E012,"Atria Institute of Technology-Hebbal, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,85194
E015,"B.N.M. Institute of Technology-Banashankari, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,43182
E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,22868
E021,"Bapuji Institute of Engineering and Technology-Shamanur Road, Davangere",GM,Davangere,AI-Artificial Intelligence & Machine Learning,101886
E024,"Basaveshwar Engineering College-Vidya Nagar, Bagalkote",GM,Bagalkote,AI-Artificial Intelligence & Machine Learning,74077
E027,"BMS College of Engineering-Basavanagudi, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,6686
E028,"BMS Institute of Technology and Management-Yelahanka, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,26313
E032,"C.M.R. Institute of Technology-Brookefield, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,34791
E033,"Cambridge Institute of Technology-K R Puram, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,111359
E040,"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,9622
E042,"Dr. Ambedkar Institute of Technology-Malathahalli, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,84409
E048,"East West Institute of Technology-BEL Layout, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,73053
E050,"Global Academy of Technology-Rajarajeshwari Nagar, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,99801
E059,"Jawaharlal Nehru New College of Engineering JNNCE-Swalanga Road, Shivamogga",GM,Shivamogga,AI-Artificial Intelligence & Machine Learning,92366
E068,"K.S. Institute of Technology-Kanakapura Main Road, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,102605
E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,3244
E107,"SJB Institute of Technology-Kengeri, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,103454
E117,"SDM College of Engineering and Technology, Tulu Minority-Kalaghatagi, Dharwad",GM,Dharwad,AI-Artificial Intelligence & Machine Learning,75645
E126,"Sir M.Visvesvaraya Institute of Technology-Yelahanka, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,41674
E145,"Vemana Institute of Technology-Koramangala, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,75204
E194,"Jain College of Engineering and Technology-Unkal, Hubballi",GM,Hubballi,AI-Artificial Intelligence & Machine Learning,108652
E207,"BGS College of Engineering and Technology-Mahalaxmipuram, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,93228
E016,"KLE Technological University Formerly known as BVBCET-Vidyanagar, Hubballi",GM,Hubballi,AR-Automation & Robotics Engineering,106607
E003,"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru",GM,Bengaluru,AS-Aerospace Engineering,90119
E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",GM,Bengaluru,AS-Aerospace Engineering,14008
E095,"R V College of Engineering-Mysore Road, Bengaluru",GM,Bengaluru,AS-Aerospace Engineering,6429
E165,"Alliance College of Engineering and Design. Alliance University-Anekal, Bengaluru",GM,Bengaluru,AS-Aerospace Engineering,75474
E040,"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",GM,Bengaluru,AU-Automobile Engineering,63821
E197,"M.S. Ramaiah University of Applied Sciences-MSR Nagar, Bengaluru",GM,Bengaluru,AVE-Automotive Engineering,61634
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,Bengaluru,BT-Biotechnology,82087
E027,"BMS College of Engineering-Basavanagudi, Bengaluru",GM,Bengaluru,BT-Biotechnology,39302
E040,"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",GM,Bengaluru,BT-Biotechnology,81432
E061,JSS Science and Technology University-Mysuru,GM,,BT-Biotechnology,109696
E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",GM,Bengaluru,BT-Biotechnology,38302
E095,"R V College of Engineering-Mysore Road, Bengaluru",GM,Bengaluru,BT-Biotechnology,18883
E126,"Sir M.Visvesvaraya Institute of Technology-Yelahanka, Bengaluru",GM,Bengaluru,BT-Biotechnology,107254
E165,"Alliance College of Engineering and Design. Alliance University-Anekal, Bengaluru",GM,Bengaluru,BT-Biotechnology,104073
E027,"BMS College of Engineering-Basavanagudi, Bengaluru",GM,Bengaluru,CB-Computer Science & Business Systems,6650
E028,"BMS Institute of Technology and Management-Yelahanka, Bengaluru",GM,Bengaluru,CB-Computer Science & Business Systems,22972
E042,"Dr. Ambedkar Institute of Technology-Malathahalli, Bengaluru",GM,Bengaluru,CB-Computer Science & Business Systems,76077
E061,JSS Science and Technology University-Mysuru,GM,,CB-Computer Science & Business Systems,26967
E078,"Maharaja Institute of Technology-Belawadi, Mandya",GM,Mandya,CB-Computer Science & Business Systems,109740
E089,"P.E.S.College of Engineering-PES College Road, Mandya",GM,Mandya,CB-Computer Science & Business Systems,52714
E173,"Presidency University-Yelahanka, Bengaluru",GM,Bengaluru,CBD-Computer Science & Technology (Big Data),68743
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,Bengaluru,CD-Computer Science & Engineering (Data Science),103486
E012,"Atria Institute of Technology-Hebbal, Bengaluru",GM,Bengaluru,CD-Computer Science & Engineering (Data Science),105457
E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",GM,Bengaluru,CD-Computer Science & Engineering (Data Science),18272
E027,"BMS College of Engineering-Basavanagudi, Bengaluru",GM,Bengaluru,CD-Computer Science & Engineering (Data Science),5610
E032,"C.M.R. Institute of Technology-Brookefield, Bengaluru",GM,Bengaluru,CD-Computer Science & Engineering (Data Science),29052
E033,"Cambridge Institute of Technology-K R Puram, Bengaluru",GM,Bengaluru,CD-Computer Science & Engineering (Data Science),85816
E039,"Dayananda Sagar Academy of Technology and Management-Kanakpura Road, Bengaluru",GM,Bengaluru,CD-Computer Science & Engineering (Data Science),68369
E040,"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",GM,Bengaluru,CD-Computer Science & Engineering (Data Science),8322
E042,"Dr. Ambedkar Institute of Technology-Malathahalli, Bengaluru",GM,Bengaluru,CD-Computer Science & Engineering (Data Science),110247
E078,"Maharaja Institute of Technology-Belawadi, Mandya",GM,Mandya,CD-Computer Science & Engineering (Data Science),106871
E089,"P.E.S.College of Engineering-PES College Road, Mandya",GM,Mandya,CD-Computer Science & Engineering (Data Science),71221
E095,"R V College of Engineering-Mysore Road, Bengaluru",GM,Bengaluru,CD-Computer Science & Engineering (Data Science),890
E104,"RNS Institute of Technology-R R Nagar Post, Bengaluru",GM,Bengaluru,CD-Computer Science & Engineering (Data Science),48497
E107,"SJB Institute of Technology-Kengeri, Bengaluru",GM,Bengaluru,CD-Computer Science & Engineering (Data Science),111065
E126,"Sir M.Visvesvaraya Institute of Technology-Yelahanka, Bengaluru",GM,Bengaluru,CD-Computer Science & Engineering (Data Science),37806
E171,"GITAM Deemed to be University-Dodaballapur taluk, Bengaluru",GM,Bengaluru,CD-Computer Science & Engineering (Data Science),53533
E173,"Presidency University-Yelahanka, Bengaluru",GM,Bengaluru,CD-Computer Science & Engineering (Data Science),102072
E187,"CMR University-Bagalur-Chagalatti, Bengaluru",GM,Bengaluru,CD-Computer Science & Engineering (Data Science),103547
E187,"CMR University-Bagalur-Chagalatti, Bengaluru",GM,Bengaluru,CE-Computer Engineering,79385
E040,"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",GM,Bengaluru,CG-Computer Science & Design,11261
E027,"BMS College of Engineering-Basavanagudi, Bengaluru",GM,Bengaluru,CH-Chemical Engineering,44795
E040,"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",GM,Bengaluru,CH-Chemical Engineering,53019
E065,"KLE Technological University Formerly called as KLE Dr. M.S. Sheshgiri College of Engineering and Technology-Udyambag, Belagavi",GM,Belagavi,CH-Chemical Engineering,67577
E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",GM,Bengaluru,CH-Chemical Engineering,42698
E095,"R V College of Engineering-Mysore Road, Bengaluru",GM,Bengaluru,CH-Chemical Engineering,13038
E005,"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural",GM,Bengaluru Rural,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),84459
E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",GM,Bengaluru,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),110976
E032,"C.M.R. Institute of Technology-Brookefield, Bengaluru",GM,Bengaluru,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),26892
E039,"Dayananda Sagar Academy of Technology and Management-Kanakpura Road, Bengaluru",GM,Bengaluru,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),54107
E041,"DON BOSCO Institute of Technology-Kumbalgodu, Bengaluru",GM,Bengaluru,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),71736
E046,"East Point College of Engineering and Technology-Avalahalli, Bengaluru",GM,Bengaluru,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),59837
E050,"Global Academy of Technology-Rajarajeshwari Nagar, Bengaluru",GM,Bengaluru,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),94669
E053,"Gopalan College of Engineering And Management-Whitefield, Bengaluru",GM,Bengaluru,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),65974
E055,"GSSS Institute of Engineering and Technology for Women-Metagalli, Mysuru",GM,Mysuru,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),56718
E060,"JSS Academy of Technical Education-Kengeri Main Road, Bengaluru",GM,Bengaluru,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),68949
E061,JSS Science and Technology University-Mysuru,GM,,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),16101
E062,"Jain College of Engineering-T.S Nagar, Belagavi",GM,Belagavi,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),73621
E073,"KLS Gogte Institute of Technology-Udyambag, Belagavi",GM,Belagavi,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),43970
E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",GM,Bengaluru,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),2098
E078,"Maharaja Institute of Technology-Belawadi, Mandya",GM,Mandya,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),98718
E082,"Maharaja Institute of Technology-Thandavapura, Mysuru",GM,Mysuru,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),71122
E084,"Nagarjuna College of Engineering And Technology-Devanahalli, Bengaluru",GM,Bengaluru,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),59079
E085,"The National Institute of Engineering North Campus-Koorgalli, Mysuru",GM,Mysuru,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),25039
E089,"P.E.S.College of Engineering-PES College Road, Mandya",GM,Mandya,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),62004
E095,"R V College of Engineering-Mysore Road, Bengaluru",GM,Bengaluru,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),975
E104,"RNS Institute of Technology-R R Nagar Post, Bengaluru",GM,Bengaluru,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),46906
E125,"Siddaganga Institute of Technology-B H Road, Tumakuru",GM,Tumakuru,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),20772
E147,"Vidyavardhaka College of Engineering-Gokulam, Mysuru",GM,Mysuru,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),80591
E161,"Cambridge Institute of Technology North Campus-Kundana, Bengaluru",GM,Bengaluru,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),78588
E164,"Reva University-Yelahanka, Bengaluru",GM,Bengaluru,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),44001
E171,"GITAM Deemed to be University-Dodaballapur taluk, Bengaluru",GM,Bengaluru,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),38125
E173,"Presidency University-Yelahanka, Bengaluru",GM,Bengaluru,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),108990
E187,"CMR University-Bagalur-Chagalatti, Bengaluru",GM,Bengaluru,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),103021
E198,"R V Institute of Technology and Management-J P Nagar, Bengaluru",GM,Bengaluru,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),24673
E165,"Alliance College of Engineering and Design. Alliance University-Anekal, Bengaluru",GM,Bengaluru,CO-Computer Science & Engineering (IOT),48973
E173,"Presidency University-Yelahanka, Bengaluru",GM,Bengaluru,CO-Computer Science & Engineering (IOT),107590
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,Bengaluru,CS-Computer Science & Engineering,109781
E004,"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagaluru",GM,Chikkamagaluru,CS-Computer Science & Engineering,96642
E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",GM,Bengaluru,CS-Computer Science & Engineering,102932
E012,"Atria Institute of Technology-Hebbal, Bengaluru",GM,Bengaluru,CS-Computer Science & Engineering,99556
E015,"B.N.M. Institute of Technology-Banashankari, Bengaluru",GM,Bengaluru,CS-Computer Science & Engineering,36964
E016,"KLE Technological University Formerly known as BVBCET-Vidyanagar, Hubballi",GM,Hubballi,CS-Computer Science & Engineering,42269
E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",GM,Bengaluru,CS-Computer Science & Engineering,16423
E020,"Bangalore Technological Institute-Chikkanayakanahalli Dinne, Bengaluru",GM,Bengaluru,CS-Computer Science & Engineering,53793
E021,"Bapuji Institute of Engineering and Technology-Shamanur Road, Davangere",GM,Davangere,CS-Computer Science & Engineering,111716
E024,"Basaveshwar Engineering College-Vidya Nagar, Bagalkote",GM,Bagalkote,CS-Computer Science & Engineering,103197
E026,"BLDEAs V.P. Dr.P.G.Halakatti College of Engineering and Technology-Ashram Road, Vijayapura",GM,Vijayapura,CS-Computer Science & Engineering,91800
E027,"BMS College of Engineering-Basavanagudi, Bengaluru",GM,Bengaluru,CS-Computer Science & Engineering,5312
E028,"BMS Institute of Technology and Management-Yelahanka, Bengaluru",GM,Bengaluru,CS-Computer Science & Engineering,19984
E032,"C.M.R. Institute of Technology-Brookefield, Bengaluru",GM,Bengaluru,CS-Computer Science & Engineering,26223
E033,"Cambridge Institute of Technology-K R Puram, Bengaluru",GM,Bengaluru,CS-Computer Science & Engineering,110484
E039,"Dayananda Sagar Academy of Technology and Management-Kanakpura Road, Bengaluru",GM,Bengaluru,CS-Computer Science & Engineering,58956
E040,"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",GM,Bengaluru,CS-Computer Science & Engineering,7819
E041,"DON BOSCO Institute of Technology-Kumbalgodu, Bengaluru",GM,Bengaluru,CS-Computer Science & Engineering,78693
E042,"Dr. Ambedkar Institute of Technology-Malathahalli, Bengaluru",GM,Bengaluru,CS-Computer Science & Engineering,82800
E046,"East Point College of Engineering and Technology-Avalahalli, Bengaluru",GM,Bengaluru,CS-Computer Science & Engineering,86011
E048,"East West Institute of Technology-BEL Layout, Bengaluru",GM,Bengaluru,CS-Computer Science & Engineering,88757
E049,"Garden City University-Old Madras Road, Bengaluru",GM,Bengaluru,CS-Computer Science & Engineering,63842
E050,"Global Academy of Technology-Rajarajeshwari Nagar, Bengaluru",GM,Bengaluru,CS-Computer Science & Engineering,110697
E051,"GM Institute of Technology-P B Road, Davangere",GM,Davangere,CS-Computer Science & Engineering,69224
E053,"Gopalan College of Engineering And Management-Whitefield, Bengaluru",GM,Bengaluru,CS-Computer Science & Engineering,89034
E055,"GSSS Institute of Engineering and Technology for Women-Metagalli, Mysuru",GM,Mysuru,CS-Computer Science & Engineering,54607
E058,"Sri Jayachamarajendra College of Engineering constituent college of JSS Science and Technology University-Manasagangothri, Mysuru",GM,Mysuru,CS-Computer Science & Engineering,7156
E059,"Jawaharlal Nehru New College of Engineering JNNCE-Swalanga Road, Shivamogga",GM,Shivamogga,CS-Computer Science & Engineering,46827
E060,"JSS Academy of Technical Education-Kengeri Main Road, Bengaluru",GM,Bengaluru,CS-Computer Science & Engineering,61469
E061,JSS Science and Technology University-Mysuru,GM,,CS-Computer Science & Engineering,15742
E065,"KLE Technological University Formerly called as KLE Dr. M.S. Sheshgiri College of Engineering and Technology-Udyambag, Belagavi",GM,Belagavi,CS-Computer Science & Engineering,99417
E068,"K.S. Institute of Technology-Kanakapura Main Road, Bengaluru",GM,Bengaluru,CS-Computer Science & Engineering,82138
E073,"KLS Gogte Institute of Technology-Udyambag, Belagavi",GM,Belagavi,CS-Computer Science & Engineering,65197
E074,"KLS Vishwanathrao Deshpande Institute of Technology-Dandeli Road, Haliyal",GM,Haliyal,CS-Computer Science & Engineering,110111
E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",GM,Bengaluru,CS-Computer Science & Engineering,1667
E078,"Maharaja Institute of Technology-Belawadi, Mandya",GM,Mandya,CS-Computer Science & Engineering,111099
E079,"Malnad College of Engineering-Rangoli Halla, Hassan",GM,Hassan,CS-Computer Science & Engineering,82338
E085,"The National Institute of Engineering North Campus-Koorgalli, Mysuru",GM,Mysuru,CS-Computer Science & Engineering,24347
E089,"P.E.S.College of Engineering-PES College Road, Mandya",GM,Mandya,CS-Computer Science & Engineering,82113
E090,"PES Institute of Technology and Management-Kotegangoor Cost, Shivamogga",GM,Shivamogga,CS-Computer Science & Engineering,84099
E095,"R V College of Engineering-Mysore Road, Bengaluru",GM,Bengaluru,CS-Computer Science & Engineering,692
E099,"Raja Rajeswari College of Engineering-Kumbalgodu, Bengaluru",GM,Bengaluru,CS-Computer Science & Engineering,86038
E104,"RNS Institute of Technology-R R Nagar Post, Bengaluru",GM,Bengaluru,CS-Computer Science & Engineering,42678
E107,"SJB Institute of Technology-Kengeri, Bengaluru",GM,Bengaluru,CS-Computer Science & Engineering,108764
E110,"SSETs S.G. Balekundri Institute of Technology-Shivabasva Nagar, Belagavi",GM,Belagavi,CS-Computer Science & Engineering,86752
E112,"Sahyadri College of Engineering and Management-Adyar, Mangaluru",GM,Mangaluru,CS-Computer Science & Engineering,100034
E113,"Sai Vidya Institute of Technology-Rajan Kunte, Bengaluru",GM,Bengaluru,CS-Computer Science & Engineering,106788
E116,"Sapthagiri NPS University-Hesarghatta Main Road, Bengaluru",GM,Bengaluru,CS-Computer Science & Engineering,83561
E117,"SDM College of Engineering and Technology, Tulu Minority-Kalaghatagi, Dharwad",GM,Dharwad,CS-Computer Science & Engineering,68774
E125,"Siddaganga Institute of Technology-B H Road, Tumakuru",GM,Tumakuru,CS-Computer Science & Engineering,19691
E126,"Sir M.Visvesvaraya Institute of Technology-Yelahanka, Bengaluru",GM,Bengaluru,CS-Computer Science & Engineering,36563
E137,"Sri Venkateshwara College of Engineering-KIAL Road, Bengaluru",GM,Bengaluru,CS-Computer Science & Engineering,35910
E145,"Vemana Institute of Technology-Koramangala, Bengaluru",GM,Bengaluru,CS-Computer Science & Engineering,95627
E146,"Vidya Vikas Institute of Engineering and Technology-Alnahally, Mysuru",GM,Mysuru,CS-Computer Science & Engineering,108452
E147,"Vidyavardhaka College of Engineering-Gokulam, Mysuru",GM,Mysuru,CS-Computer Science & Engineering,106778
E156,"Jyothy Institute of Technology-Tathguni, Bengaluru",GM,Bengaluru,CS-Computer Science & Engineering,61663
E161,"Cambridge Institute of Technology North Campus-Kundana, Bengaluru",GM,Bengaluru,CS-Computer Science & Engineering,77553
E165,"Alliance College of Engineering and Design. Alliance University-Anekal, Bengaluru",GM,Bengaluru,CS-Computer Science & Engineering,110415
